id_specialist;name;birthday_date;professional_card
71;Especialista 71;1998-03-09;7790115
72;Especialista 72;1998-03-10;7901226
73;Especialista 73;1998-03-11;8012337
74;Especialista 74;1998-03-12;8123448
75;Especialista 75;1998-03-13;8234559
76;Especialista 76;1998-03-14;8345670
77;Especialista 77;1998-03-15;8456781
78;Especialista 78;1998-03-16;8567892
79;Especialista 79;1998-03-17;8679003
80;Especialista 80;1998-03-18;8790114
81;Especialista 81;1998-03-19;8901225
82;Especialista 82;1998-03-20;9012336
83;Especialista 83;1998-03-21;9123447
84;Especialista 84;1998-03-22;9234558
85;Especialista 85;1998-03-23;9345669
86;Especialista 86;1998-03-24;9456780
87;Especialista 87;1998-03-25;9567891
88;Especialista 88;1998-03-26;9679002
89;Especialista 89;1998-03-27;9790113
90;Especialista 90;1998-03-28;9901224
91;Especialista 91;1998-03-29;10012335
92;Especialista 92;1998-03-30;10123446
93;Especialista 93;1998-03-31;10234557
94;Especialista 94;1999-01-01;10345668
95;Especialista 95;1999-01-02;10456779
96;Especialista 96;1999-01-03;10567890
97;Especialista 97;1999-01-04;10679001
98;Especialista 98;1999-01-05;10790112
99;Especialista 99;1999-01-06;10901223
100;Especialista 100;1999-01-07;11012334
101;Especialista 101;1999-01-08;11123445
102;Especialista 102;1999-01-09;11234556
103;Especialista 103;1999-01-10;11345667
104;Especialista 104;1999-01-11;11456778
105;Especialista 105;1999-01-12;11567889
106;Especialista 106;1999-01-13;11679000
107;Especialista 107;1999-01-14;11790111
108;Especialista 108;1999-01-15;11901222
109;Especialista 109;1999-01-16;12012333
110;Especialista 110;1999-01-17;12123444
111;Especialista 111;1999-01-18;12234555
112;Especialista 112;1999-01-19;12345666
113;Especialista 113;1999-01-20;12456777
114;Especialista 114;1999-01-21;12567888
115;Especialista 115;1999-01-22;12678999
116;Especialista 116;1999-01-23;12790110
117;Especialista 117;1999-01-24;12901221
118;Especialista 118;1999-01-25;13012332
119;Especialista 119;1999-01-26;13123443
120;Especialista 120;1999-01-27;13234554
121;Especialista 121;1999-01-28;13345665
122;Especialista 122;1999-01-29;13456776
123;Especialista 123;1999-01-30;13567887
124;Especialista 124;1999-01-31;13678998
125;Especialista 125;1999-02-01;13790109
126;Especialista 126;1999-02-02;13901220
127;Especialista 127;1999-02-03;14012331
128;Especialista 128;1999-02-04;14123442
129;Especialista 129;1999-02-05;14234553
130;Especialista 130;1999-02-06;14345664
131;Especialista 131;1999-02-07;14456775
132;Especialista 132;1999-02-08;14567886
133;Especialista 133;1999-02-09;14678997
134;Especialista 134;1999-02-10;14790108
135;Especialista 135;1999-02-11;14901219
136;Especialista 136;1999-02-12;15012330
137;Especialista 137;1999-02-13;15123441
138;Especialista 138;1999-02-14;15234552
139;Especialista 139;1999-02-15;15345663
140;Especialista 140;1999-02-16;15456774
141;Especialista 141;1999-02-17;15567885
142;Especialista 142;1999-02-18;15678996
143;Especialista 143;1999-02-19;15790107
144;Especialista 144;1999-02-20;15901218
145;Especialista 145;1999-02-21;16012329
146;Especialista 146;1999-02-22;16123440
147;Especialista 147;1999-02-23;16234551
148;Especialista 148;1999-02-24;16345662
149;Especialista 149;1999-02-25;16456773
150;Especialista 150;1999-02-26;16567884
151;Especialista 151;1999-02-27;16678995
152;Especialista 152;1999-02-28;16790106
153;Especialista 153;1999-03-01;16901217
154;Especialista 154;1999-03-02;17012328
155;Especialista 155;1999-03-03;17123439
156;Especialista 156;1999-03-04;17234550
157;Especialista 157;1999-03-05;17345661
158;Especialista 158;1999-03-06;17456772
159;Especialista 159;1999-03-07;17567883
160;Especialista 160;1999-03-08;17678994
161;Especialista 161;1999-03-09;17790105
162;Especialista 162;1999-03-10;17901216
163;Especialista 163;1999-03-11;18012327
164;Especialista 164;1999-03-12;18123438
165;Especialista 165;1999-03-13;18234549
166;Especialista 166;1999-03-14;18345660
167;Especialista 167;1999-03-15;18456771
168;Especialista 168;1999-03-16;18567882
169;Especialista 169;1999-03-17;18678993
170;Especialista 170;1999-03-18;18790104
171;Especialista 171;1999-03-19;18901215
172;Especialista 172;1999-03-20;19012326
173;Especialista 173;1999-03-21;19123437
174;Especialista 174;1999-03-22;19234548
175;Especialista 175;1999-03-23;19345659
176;Especialista 176;1999-03-24;19456770
177;Especialista 177;1999-03-25;19567881
178;Especialista 178;1999-03-26;19678992
179;Especialista 179;1999-03-27;19790103
180;Especialista 180;1999-03-28;19901214
181;Especialista 181;1999-03-29;20012325
182;Especialista 182;1999-03-30;20123436
183;Especialista 183;1999-03-31;20234547
184;Especialista 184;1999-04-01;20345658
185;Especialista 185;1999-04-02;20456769
186;Especialista 186;1999-04-03;20567880
187;Especialista 187;1999-04-04;20678991
188;Especialista 188;1999-04-05;20790102
189;Especialista 189;1999-04-06;20901213
190;Especialista 190;1999-04-07;21012324
191;Especialista 191;1999-04-08;21123435
192;Especialista 192;1999-04-09;21234546
193;Especialista 193;1999-04-10;21345657
194;Especialista 194;1999-04-11;21456768
195;Especialista 195;1999-04-12;21567879
196;Especialista 196;1999-04-13;21678990
197;Especialista 197;1999-04-14;21790101
198;Especialista 198;1999-04-15;21901212
199;Especialista 199;1999-04-16;22012323
200;Especialista 200;1999-04-17;22123434
201;Especialista 201;1999-04-18;22234545
202;Especialista 202;1999-04-19;22345656
203;Especialista 203;1999-04-20;22456767
204;Especialista 204;1999-04-21;22567878
205;Especialista 205;1999-04-22;22678989
206;Especialista 206;1999-04-23;22790100
207;Especialista 207;1999-04-24;22901211
208;Especialista 208;1999-04-25;23012322
209;Especialista 209;1999-04-26;23123433
210;Especialista 210;1999-04-27;23234544
211;Especialista 211;1999-04-28;23345655
212;Especialista 212;1999-04-29;23456766
213;Especialista 213;1999-04-30;23567877
214;Especialista 214;1999-05-01;23678988
215;Especialista 215;1999-05-02;23790099
216;Especialista 216;1999-05-03;23901210
217;Especialista 217;1999-05-04;24012321
218;Especialista 218;1999-05-05;24123432
219;Especialista 219;1999-05-06;24234543
220;Especialista 220;1999-05-07;24345654
221;Especialista 221;1999-05-08;24456765
222;Especialista 222;1999-05-09;24567876
223;Especialista 223;1999-05-10;24678987
224;Especialista 224;1999-05-11;24790098
225;Especialista 225;1999-05-12;24901209
226;Especialista 226;1999-05-13;25012320
227;Especialista 227;1999-05-14;25123431
228;Especialista 228;1999-05-15;25234542
229;Especialista 229;1999-05-16;25345653
230;Especialista 230;1999-05-17;25456764
231;Especialista 231;1999-05-18;25567875
232;Especialista 232;1999-05-19;25678986
233;Especialista 233;1999-05-20;25790097
234;Especialista 234;1999-05-21;25901208
235;Especialista 235;1999-05-22;26012319
236;Especialista 236;1999-05-23;26123430
237;Especialista 237;1999-05-24;26234541
238;Especialista 238;1999-05-25;26345652
239;Especialista 239;1999-05-26;26456763
240;Especialista 240;1999-05-27;26567874
241;Especialista 241;1999-05-28;26678985
242;Especialista 242;1999-05-29;26790096
243;Especialista 243;1999-05-30;26901207
244;Especialista 244;1999-05-31;27012318
245;Especialista 245;1999-06-01;27123429
246;Especialista 246;1999-06-02;27234540
247;Especialista 247;1999-06-03;27345651
248;Especialista 248;1999-06-04;27456762
249;Especialista 249;1999-06-05;27567873
250;Especialista 250;1999-06-06;27678984
251;Especialista 251;1999-06-07;27790095
252;Especialista 252;1999-06-08;27901206
253;Especialista 253;1999-06-09;28012317
254;Especialista 254;1999-06-10;28123428
255;Especialista 255;1999-06-11;28234539
256;Especialista 256;1999-06-12;28345650
257;Especialista 257;1999-06-13;28456761
258;Especialista 258;1999-06-14;28567872
259;Especialista 259;1999-06-15;28678983
260;Especialista 260;1999-06-16;28790094
261;Especialista 261;1999-06-17;28901205
262;Especialista 262;1999-06-18;29012316
263;Especialista 263;1999-06-19;29123427
264;Especialista 264;1999-06-20;29234538
265;Especialista 265;1999-06-21;29345649
266;Especialista 266;1999-06-22;29456760
267;Especialista 267;1999-06-23;29567871
268;Especialista 268;1999-06-24;29678982
269;Especialista 269;1999-06-25;29790093
270;Especialista 270;1999-06-26;29901204
271;Especialista 271;1999-06-27;30012315
272;Especialista 272;1999-06-28;30123426
273;Especialista 273;1999-06-29;30234537
274;Especialista 274;1999-06-30;30345648
275;Especialista 275;1999-07-01;30456759
276;Especialista 276;1999-07-02;30567870
277;Especialista 277;1999-07-03;30678981
278;Especialista 278;1999-07-04;30790092
279;Especialista 279;1999-07-05;30901203
280;Especialista 280;1999-07-06;31012314
281;Especialista 281;1999-07-07;31123425
282;Especialista 282;1999-07-08;31234536
283;Especialista 283;1999-07-09;31345647
284;Especialista 284;1999-07-10;31456758
285;Especialista 285;1999-07-11;31567869
286;Especialista 286;1999-07-12;31678980
287;Especialista 287;1999-07-13;31790091
288;Especialista 288;1999-07-14;31901202
289;Especialista 289;1999-07-15;32012313
290;Especialista 290;1999-07-16;32123424
291;Especialista 291;1999-07-17;32234535
292;Especialista 292;1999-07-18;32345646
293;Especialista 293;1999-07-19;32456757
294;Especialista 294;1999-07-20;32567868
295;Especialista 295;1999-07-21;32678979
296;Especialista 296;1999-07-22;32790090
297;Especialista 297;1999-07-23;32901201
298;Especialista 298;1999-07-24;33012312
299;Especialista 299;1999-07-25;33123423
300;Especialista 300;1999-07-26;33234534
301;Especialista 301;1999-07-27;33345645
302;Especialista 302;1999-07-28;33456756
303;Especialista 303;1999-07-29;33567867
304;Especialista 304;1999-07-30;33678978
305;Especialista 305;1999-07-31;33790089
306;Especialista 306;1999-08-01;33901200
307;Especialista 307;1999-08-02;34012311
308;Especialista 308;1999-08-03;34123422
309;Especialista 309;1999-08-04;34234533
310;Especialista 310;1999-08-05;34345644
311;Especialista 311;1999-08-06;34456755
312;Especialista 312;1999-08-07;34567866
313;Especialista 313;1999-08-08;34678977
314;Especialista 314;1999-08-09;34790088
315;Especialista 315;1999-08-10;34901199
316;Especialista 316;1999-08-11;35012310
317;Especialista 317;1999-08-12;35123421
318;Especialista 318;1999-08-13;35234532
319;Especialista 319;1999-08-14;35345643
320;Especialista 320;1999-08-15;35456754
321;Especialista 321;1999-08-16;35567865
322;Especialista 322;1999-08-17;35678976
323;Especialista 323;1999-08-18;35790087
324;Especialista 324;1999-08-19;35901198
325;Especialista 325;1999-08-20;36012309
326;Especialista 326;1999-08-21;36123420
327;Especialista 327;1999-08-22;36234531
328;Especialista 328;1999-08-23;36345642
329;Especialista 329;1999-08-24;36456753
330;Especialista 330;1999-08-25;36567864
331;Especialista 331;1999-08-26;36678975
332;Especialista 332;1999-08-27;36790086
333;Especialista 333;1999-08-28;36901197
334;Especialista 334;1999-08-29;37012308
335;Especialista 335;1999-08-30;37123419
336;Especialista 336;1999-08-31;37234530
337;Especialista 337;1999-09-01;37345641
338;Especialista 338;1999-09-02;37456752
339;Especialista 339;1999-09-03;37567863
340;Especialista 340;1999-09-04;37678974
341;Especialista 341;1999-09-05;37790085
342;Especialista 342;1999-09-06;37901196
343;Especialista 343;1999-09-07;38012307
344;Especialista 344;1999-09-08;38123418
345;Especialista 345;1999-09-09;38234529
346;Especialista 346;1999-09-10;38345640
347;Especialista 347;1999-09-11;38456751
348;Especialista 348;1999-09-12;38567862
349;Especialista 349;1999-09-13;38678973
350;Especialista 350;1999-09-14;38790084
351;Especialista 351;1999-09-15;38901195
352;Especialista 352;1999-09-16;39012306
353;Especialista 353;1999-09-17;39123417
354;Especialista 354;1999-09-18;39234528
355;Especialista 355;1999-09-19;39345639
356;Especialista 356;1999-09-20;39456750
357;Especialista 357;1999-09-21;39567861
358;Especialista 358;1999-09-22;39678972
359;Especialista 359;1999-09-23;39790083
360;Especialista 360;1999-09-24;39901194
361;Especialista 361;1999-09-25;40012305
362;Especialista 362;1999-09-26;40123416
363;Especialista 363;1999-09-27;40234527
364;Especialista 364;1999-09-28;40345638
365;Especialista 365;1999-09-29;40456749
366;Especialista 366;1999-09-30;40567860
367;Especialista 367;1999-10-01;40678971
368;Especialista 368;1999-10-02;40790082
369;Especialista 369;1999-10-03;40901193
370;Especialista 370;1999-10-04;41012304
371;Especialista 371;1999-10-05;41123415
372;Especialista 372;1999-10-06;41234526
373;Especialista 373;1999-10-07;41345637
374;Especialista 374;1999-10-08;41456748
375;Especialista 375;1999-10-09;41567859
376;Especialista 376;1999-10-10;41678970
377;Especialista 377;1999-10-11;41790081
378;Especialista 378;1999-10-12;41901192
379;Especialista 379;1999-10-13;42012303
380;Especialista 380;1999-10-14;42123414
381;Especialista 381;1999-10-15;42234525
382;Especialista 382;1999-10-16;42345636
383;Especialista 383;1999-10-17;42456747
384;Especialista 384;1999-10-18;42567858
385;Especialista 385;1999-10-19;42678969
386;Especialista 386;1999-10-20;42790080
387;Especialista 387;1999-10-21;42901191
388;Especialista 388;1999-10-22;43012302
389;Especialista 389;1999-10-23;43123413
390;Especialista 390;1999-10-24;43234524
391;Especialista 391;1999-10-25;43345635
392;Especialista 392;1999-10-26;43456746
393;Especialista 393;1999-10-27;43567857
394;Especialista 394;1999-10-28;43678968
395;Especialista 395;1999-10-29;43790079
396;Especialista 396;1999-10-30;43901190
397;Especialista 397;1999-10-31;44012301
398;Especialista 398;1999-11-01;44123412
399;Especialista 399;1999-11-02;44234523
400;Especialista 400;1999-11-03;44345634
401;Especialista 401;1999-11-04;44456745
402;Especialista 402;1999-11-05;44567856
403;Especialista 403;1999-11-06;44678967
404;Especialista 404;1999-11-07;44790078
405;Especialista 405;1999-11-08;44901189
406;Especialista 406;1999-11-09;45012300
407;Especialista 407;1999-11-10;45123411
408;Especialista 408;1999-11-11;45234522
409;Especialista 409;1999-11-12;45345633
410;Especialista 410;1999-11-13;45456744
411;Especialista 411;1999-11-14;45567855
412;Especialista 412;1999-11-15;45678966
413;Especialista 413;1999-11-16;45790077
414;Especialista 414;1999-11-17;45901188
415;Especialista 415;1999-11-18;46012299
416;Especialista 416;1999-11-19;46123410
417;Especialista 417;1999-11-20;46234521
418;Especialista 418;1999-11-21;46345632
419;Especialista 419;1999-11-22;46456743
420;Especialista 420;1999-11-23;46567854
421;Especialista 421;1999-11-24;46678965
422;Especialista 422;1999-11-25;46790076
423;Especialista 423;1999-11-26;46901187
424;Especialista 424;1999-11-27;47012298
425;Especialista 425;1999-11-28;47123409
426;Especialista 426;1999-11-29;47234520
427;Especialista 427;1999-11-30;47345631
428;Especialista 428;1999-12-01;47456742
429;Especialista 429;1999-12-02;47567853
430;Especialista 430;1999-12-03;47678964
431;Especialista 431;1999-12-04;47790075
432;Especialista 432;1999-12-05;47901186
433;Especialista 433;1999-12-06;48012297
434;Especialista 434;1999-12-07;48123408
435;Especialista 435;1999-12-08;48234519
436;Especialista 436;1999-12-09;48345630
437;Especialista 437;1999-12-10;48456741
438;Especialista 438;1999-12-11;48567852
439;Especialista 439;1999-12-12;48678963
440;Especialista 440;1999-12-13;48790074
441;Especialista 441;1999-12-14;48901185
442;Especialista 442;1999-12-15;49012296
443;Especialista 443;1999-12-16;49123407
444;Especialista 444;1999-12-17;49234518
445;Especialista 445;1999-12-18;49345629
446;Especialista 446;1999-12-19;49456740
447;Especialista 447;1999-12-20;49567851
448;Especialista 448;1999-12-21;49678962
449;Especialista 449;1999-12-22;49790073
450;Especialista 450;1999-12-23;49901184
451;Especialista 451;1999-12-24;50012295
452;Especialista 452;1999-12-25;50123406
453;Especialista 453;1999-12-26;50234517
454;Especialista 454;1999-12-27;50345628
455;Especialista 455;1999-12-28;50456739
456;Especialista 456;1999-12-29;50567850
457;Especialista 457;1999-12-30;50678961
458;Especialista 458;1999-12-31;50790072
459;Especialista 459;2000-01-01;50901183
460;Especialista 460;2000-01-02;51012294
461;Especialista 461;2000-01-03;51123405
462;Especialista 462;2000-01-04;51234516
463;Especialista 463;2000-01-05;51345627
464;Especialista 464;2000-01-06;51456738
465;Especialista 465;2000-01-07;51567849
466;Especialista 466;2000-01-08;51678960
467;Especialista 467;2000-01-09;51790071
468;Especialista 468;2000-01-10;51901182
469;Especialista 469;2000-01-11;52012293
470;Especialista 470;2000-01-12;52123404
471;Especialista 471;2000-01-13;52234515
472;Especialista 472;2000-01-14;52345626
473;Especialista 473;2000-01-15;52456737
474;Especialista 474;2000-01-16;52567848
475;Especialista 475;2000-01-17;52678959
476;Especialista 476;2000-01-18;52790070
477;Especialista 477;2000-01-19;52901181
478;Especialista 478;2000-01-20;53012292
479;Especialista 479;2000-01-21;53123403
480;Especialista 480;2000-01-22;53234514
481;Especialista 481;2000-01-23;53345625
482;Especialista 482;2000-01-24;53456736
483;Especialista 483;2000-01-25;53567847
484;Especialista 484;2000-01-26;53678958
485;Especialista 485;2000-01-27;53790069
486;Especialista 486;2000-01-28;53901180
487;Especialista 487;2000-01-29;54012291
488;Especialista 488;2000-01-30;54123402
489;Especialista 489;2000-01-31;54234513
490;Especialista 490;2000-02-01;54345624
491;Especialista 491;2000-02-02;54456735
492;Especialista 492;2000-02-03;54567846
493;Especialista 493;2000-02-04;54678957
494;Especialista 494;2000-02-05;54790068
495;Especialista 495;2000-02-06;54901179
496;Especialista 496;2000-02-07;55012290
497;Especialista 497;2000-02-08;55123401
498;Especialista 498;2000-02-09;55234512
499;Especialista 499;2000-02-10;55345623
500;Especialista 500;2000-02-11;55456734
501;Especialista 501;2000-02-12;55567845
502;Especialista 502;2000-02-13;55678956
503;Especialista 503;2000-02-14;55790067
504;Especialista 504;2000-02-15;55901178
505;Especialista 505;2000-02-16;56012289
506;Especialista 506;2000-02-17;56123400
507;Especialista 507;2000-02-18;56234511
508;Especialista 508;2000-02-19;56345622
509;Especialista 509;2000-02-20;56456733
510;Especialista 510;2000-02-21;56567844
511;Especialista 511;2000-02-22;56678955
512;Especialista 512;2000-02-23;56790066
513;Especialista 513;2000-02-24;56901177
514;Especialista 514;2000-02-25;57012288
515;Especialista 515;2000-02-26;57123399
516;Especialista 516;2000-02-27;57234510
517;Especialista 517;2000-02-28;57345621
518;Especialista 518;2000-02-29;57456732
519;Especialista 519;2000-03-01;57567843
520;Especialista 520;2000-03-02;57678954
521;Especialista 521;2000-03-03;57790065
522;Especialista 522;2000-03-04;57901176
523;Especialista 523;2000-03-05;58012287
524;Especialista 524;2000-03-06;58123398
525;Especialista 525;2000-03-07;58234509
526;Especialista 526;2000-03-08;58345620
527;Especialista 527;2000-03-09;58456731
528;Especialista 528;2000-03-10;58567842
529;Especialista 529;2000-03-11;58678953
530;Especialista 530;2000-03-12;58790064
531;Especialista 531;2000-03-13;58901175
532;Especialista 532;2000-03-14;59012286
533;Especialista 533;2000-03-15;59123397
534;Especialista 534;2000-03-16;59234508
535;Especialista 535;2000-03-17;59345619
536;Especialista 536;2000-03-18;59456730
537;Especialista 537;2000-03-19;59567841
538;Especialista 538;2000-03-20;59678952
539;Especialista 539;2000-03-21;59790063
540;Especialista 540;2000-03-22;59901174
541;Especialista 541;2000-03-23;60012285
542;Especialista 542;2000-03-24;60123396
543;Especialista 543;2000-03-25;60234507
544;Especialista 544;2000-03-26;60345618
545;Especialista 545;2000-03-27;60456729
546;Especialista 546;2000-03-28;60567840
547;Especialista 547;2000-03-29;60678951
548;Especialista 548;2000-03-30;60790062
549;Especialista 549;2000-03-31;60901173
550;Especialista 550;2000-04-01;61012284
551;Especialista 551;2000-04-02;61123395
552;Especialista 552;2000-04-03;61234506
553;Especialista 553;2000-04-04;61345617
554;Especialista 554;2000-04-05;61456728
555;Especialista 555;2000-04-06;61567839
556;Especialista 556;2000-04-07;61678950
557;Especialista 557;2000-04-08;61790061
558;Especialista 558;2000-04-09;61901172
559;Especialista 559;2000-04-10;62012283
560;Especialista 560;2000-04-11;62123394
561;Especialista 561;2000-04-12;62234505
562;Especialista 562;2000-04-13;62345616
563;Especialista 563;2000-04-14;62456727
564;Especialista 564;2000-04-15;62567838
565;Especialista 565;2000-04-16;62678949
566;Especialista 566;2000-04-17;62790060
567;Especialista 567;2000-04-18;62901171
568;Especialista 568;2000-04-19;63012282
569;Especialista 569;2000-04-20;63123393
570;Especialista 570;2000-04-21;63234504
571;Especialista 571;2000-04-22;63345615
572;Especialista 572;2000-04-23;63456726
573;Especialista 573;2000-04-24;63567837
574;Especialista 574;2000-04-25;63678948
575;Especialista 575;2000-04-26;63790059
576;Especialista 576;2000-04-27;63901170
577;Especialista 577;2000-04-28;64012281
578;Especialista 578;2000-04-29;64123392
579;Especialista 579;2000-04-30;64234503
580;Especialista 580;2000-05-01;64345614
581;Especialista 581;2000-05-02;64456725
582;Especialista 582;2000-05-03;64567836
583;Especialista 583;2000-05-04;64678947
584;Especialista 584;2000-05-05;64790058
585;Especialista 585;2000-05-06;64901169
586;Especialista 586;2000-05-07;65012280
587;Especialista 587;2000-05-08;65123391
588;Especialista 588;2000-05-09;65234502
589;Especialista 589;2000-05-10;65345613
590;Especialista 590;2000-05-11;65456724
591;Especialista 591;2000-05-12;65567835
592;Especialista 592;2000-05-13;65678946
593;Especialista 593;2000-05-14;65790057
594;Especialista 594;2000-05-15;65901168
595;Especialista 595;2000-05-16;66012279
596;Especialista 596;2000-05-17;66123390
597;Especialista 597;2000-05-18;66234501
598;Especialista 598;2000-05-19;66345612
599;Especialista 599;2000-05-20;66456723
600;Especialista 600;2000-05-21;66567834
601;Especialista 601;2000-05-22;66678945
602;Especialista 602;2000-05-23;66790056
603;Especialista 603;2000-05-24;66901167
604;Especialista 604;2000-05-25;67012278
605;Especialista 605;2000-05-26;67123389
606;Especialista 606;2000-05-27;67234500
607;Especialista 607;2000-05-28;67345611
608;Especialista 608;2000-05-29;67456722
609;Especialista 609;2000-05-30;67567833
610;Especialista 610;2000-05-31;67678944
611;Especialista 611;2000-06-01;67790055
612;Especialista 612;2000-06-02;67901166
613;Especialista 613;2000-06-03;68012277
614;Especialista 614;2000-06-04;68123388
615;Especialista 615;2000-06-05;68234499
616;Especialista 616;2000-06-06;68345610
617;Especialista 617;2000-06-07;68456721
618;Especialista 618;2000-06-08;68567832
619;Especialista 619;2000-06-09;68678943
620;Especialista 620;2000-06-10;68790054
621;Especialista 621;2000-06-11;68901165
622;Especialista 622;2000-06-12;69012276
623;Especialista 623;2000-06-13;69123387
624;Especialista 624;2000-06-14;69234498
625;Especialista 625;2000-06-15;69345609
626;Especialista 626;2000-06-16;69456720
627;Especialista 627;2000-06-17;69567831
628;Especialista 628;2000-06-18;69678942
629;Especialista 629;2000-06-19;69790053
630;Especialista 630;2000-06-20;69901164
631;Especialista 631;2000-06-21;70012275
632;Especialista 632;2000-06-22;70123386
633;Especialista 633;2000-06-23;70234497
634;Especialista 634;2000-06-24;70345608
635;Especialista 635;2000-06-25;70456719
636;Especialista 636;2000-06-26;70567830
637;Especialista 637;2000-06-27;70678941
638;Especialista 638;2000-06-28;70790052
639;Especialista 639;2000-06-29;70901163
640;Especialista 640;2000-06-30;71012274
641;Especialista 641;2000-07-01;71123385
642;Especialista 642;2000-07-02;71234496
643;Especialista 643;2000-07-03;71345607
644;Especialista 644;2000-07-04;71456718
645;Especialista 645;2000-07-05;71567829
646;Especialista 646;2000-07-06;71678940
647;Especialista 647;2000-07-07;71790051
648;Especialista 648;2000-07-08;71901162
649;Especialista 649;2000-07-09;72012273
650;Especialista 650;2000-07-10;72123384
651;Especialista 651;2000-07-11;72234495
652;Especialista 652;2000-07-12;72345606
653;Especialista 653;2000-07-13;72456717
654;Especialista 654;2000-07-14;72567828
655;Especialista 655;2000-07-15;72678939
656;Especialista 656;2000-07-16;72790050
657;Especialista 657;2000-07-17;72901161
658;Especialista 658;2000-07-18;73012272
659;Especialista 659;2000-07-19;73123383
660;Especialista 660;2000-07-20;73234494
661;Especialista 661;2000-07-21;73345605
662;Especialista 662;2000-07-22;73456716
663;Especialista 663;2000-07-23;73567827
664;Especialista 664;2000-07-24;73678938
665;Especialista 665;2000-07-25;73790049
666;Especialista 666;2000-07-26;73901160
667;Especialista 667;2000-07-27;74012271
668;Especialista 668;2000-07-28;74123382
669;Especialista 669;2000-07-29;74234493
670;Especialista 670;2000-07-30;74345604
671;Especialista 671;2000-07-31;74456715
672;Especialista 672;2000-08-01;74567826
673;Especialista 673;2000-08-02;74678937
674;Especialista 674;2000-08-03;74790048
675;Especialista 675;2000-08-04;74901159
676;Especialista 676;2000-08-05;75012270
677;Especialista 677;2000-08-06;75123381
678;Especialista 678;2000-08-07;75234492
679;Especialista 679;2000-08-08;75345603
680;Especialista 680;2000-08-09;75456714
681;Especialista 681;2000-08-10;75567825
682;Especialista 682;2000-08-11;75678936
683;Especialista 683;2000-08-12;75790047
684;Especialista 684;2000-08-13;75901158
685;Especialista 685;2000-08-14;76012269
686;Especialista 686;2000-08-15;76123380
687;Especialista 687;2000-08-16;76234491
688;Especialista 688;2000-08-17;76345602
689;Especialista 689;2000-08-18;76456713
690;Especialista 690;2000-08-19;76567824
691;Especialista 691;2000-08-20;76678935
692;Especialista 692;2000-08-21;76790046
693;Especialista 693;2000-08-22;76901157
694;Especialista 694;2000-08-23;77012268
695;Especialista 695;2000-08-24;77123379
696;Especialista 696;2000-08-25;77234490
697;Especialista 697;2000-08-26;77345601
698;Especialista 698;2000-08-27;77456712
